id,size,type,category
root,0,root,root
Country,1313063,category,Country
hohols,536227,word,Country
jeets,285511,word,Country
ziggers,236621,word,Country
ukips,151335,word,Country
vatniks,133486,word,Country
amerimutts,119724,word,Country
britbongs,99289,word,Country
europoors,88323,word,Country
amerifats,77547,word,Country
turkroaches,76020,word,Country
vatniggers,65057,word,Country
pidors,63790,word,Country
eurocucks,45739,word,Country
russniggers,45192,word,Country
westoids,44902,word,Country
eurofags,41991,word,Country
slavshits,39602,word,Country
ameribros,36322,word,Country
piggers,36014,word,Country
ukrops,35859,word,Country
americucks,33489,word,Country
streetshitters,32849,word,Country
amerilards,31459,word,Country
Gender,493772,category,Gender
roasties,516883,word,Gender
troons,185029,word,Gender
femboys,65473,word,Gender
bvlls,49110,word,Gender
femoids,45946,word,Gender
numales,41809,word,Gender
femanons,36748,word,Gender
Novel,1365293,category,Novel
incels,1044194,word,Novel
glowniggers,572889,word,Novel
glowies,385254,word,Novel
zogbots,200197,word,Novel
wagies,168823,word,Novel
coomers,158219,word,Novel
normalfags,117380,word,Novel
bugmen,87031,word,Novel
coalburners,77787,word,Novel
neckbeard,64849,word,Novel
weebs,51223,word,Novel
wageslaves,40998,word,Novel
wagecucks,39086,word,Novel
furfags,32342,word,Novel
Online,427719,category,Online
newfags,206293,word,Online
oldfags,117464,word,Online
memeflaggots,95165,word,Online
stormfag,88589,word,Online
tripfags,73199,word,Online
groypers,72999,word,Online
poltards,63325,word,Online
namefags,56217,word,Online
samefags,45641,word,Online
starmers,33330,word,Online
flaggots,31925,word,Online
Other,161191,category,Other
poorfags,118486,word,Other
rapefugees,106614,word,Other
zoomies,43005,word,Other
landwhales,37880,word,Other
Party/Ideology,469699,category,Party/Ideology
libtards,279845,word,Party/Ideology
cuckservatives,133105,word,Party/Ideology
libshits,115478,word,Party/Ideology
leftoids,93479,word,Party/Ideology
shitlibs,84650,word,Party/Ideology
leftards,44164,word,Party/Ideology
libcucks,39574,word,Party/Ideology
rightoids,38103,word,Party/Ideology
Race,1677643,category,Race
shitskins,1465508,word,Race
pajeets,693501,word,Race
sandniggers,440675,word,Race
dindus,315772,word,Race
niglets,99130,word,Race
sheboons,85183,word,Race
nignogs,72066,word,Race
poojeets,71082,word,Race
brownoids,55967,word,Race
goatfuckers,48097,word,Race
cumskins,45518,word,Race
goblinas,38093,word,Race
castizos,35183,word,Race
niggerlovers,32541,word,Race
muttoids,32379,word,Race
Religion,697943,category,Religion
christcucks,362177,word,Religion
mudslimes,337760,word,Religion
muzzies,228523,word,Religion
mudshits,62310,word,Religion
christkikes,60016,word,Religion
christfags,58117,word,Religion
jooz,33168,word,Religion
Stance,275925,category,Stance
trumptards,60170,word,Stance
qtards,51994,word,Stance
migatards,51357,word,Stance
magatards,43023,word,Stance
lolbertarians,41316,word,Stance
miggers,36842,word,Stance
migapedes,36247,word,Stance
lolberts,34709,word,Stance
feminazis,32746,word,Stance
bernouts,31996,word,Stance
magapedes,31792,word,Stance
